CreatedDate,CreatedTime,Distance in Cm
16032019,12:01:05 PM,376.3
16032019,12:01:15 PM,14.1
16032019,12:01:25 PM,377
16032019,12:01:35 PM,47.3
16032019,12:01:45 PM,375.4
16032019,12:01:55 PM,376.6
16032019,12:02:05 PM,192.3
16032019,12:02:15 PM,378.5
16032019,12:02:25 PM,200.5
16032019,12:02:35 PM,174.4
16032019,12:02:45 PM,12.9
16032019,12:02:55 PM,377.6
16032019,12:03:05 PM,158.5
16032019,12:03:15 PM,11.6
16032019,12:03:25 PM,201.6
16032019,12:03:35 PM,17.3
16032019,12:03:45 PM,19.4
16032019,12:03:55 PM,193.2
16032019,12:04:05 PM,18.7
16032019,12:04:15 PM,174.4
16032019,12:04:25 PM,207.4
16032019,12:04:35 PM,170.8
16032019,12:04:45 PM,169.7
16032019,12:04:55 PM,167.5
16032019,12:05:05 PM,-7
16032019,12:05:15 PM,-9
16032019,12:05:25 PM,-8.1
16032019,12:05:35 PM,-6.5
16032019,12:05:45 PM,-6.8
16032019,12:05:55 PM,158.6
16032019,12:06:05 PM,159
16032019,12:06:15 PM,159
16032019,12:06:25 PM,158.6
16032019,12:06:35 PM,159
16032019,12:06:45 PM,159.5
16032019,12:06:55 PM,159
16032019,12:07:05 PM,160.3
16032019,12:07:15 PM,159
16032019,12:07:25 PM,159.9
16032019,12:07:35 PM,158.2
16032019,12:07:45 PM,157.1
16032019,12:07:55 PM,17.2
16032019,12:08:05 PM,185.3
16032019,12:08:15 PM,-4.7
16032019,12:08:25 PM,-9.7
16032019,12:08:35 PM,34.1
16032019,12:08:45 PM,35.7
16032019,12:08:55 PM,40.2
16032019,12:09:05 PM,178.4
16032019,12:09:15 PM,56
16032019,12:09:25 PM,158.3
16032019,12:09:35 PM,67
16032019,12:09:45 PM,211.5
16032019,12:09:55 PM,53.1
16032019,12:10:05 PM,163.7
16032019,12:10:15 PM,70.6
16032019,12:10:25 PM,100.6
16032019,12:10:35 PM,49.8
16032019,12:10:45 PM,50
16032019,12:10:55 PM,49.7
16032019,12:11:05 PM,374.8
16032019,12:11:15 PM,373.9
16032019,12:11:25 PM,374.9
16032019,12:11:35 PM,376.6
16032019,12:11:45 PM,374.4
16032019,12:11:55 PM,374.9
16032019,12:12:05 PM,375.2
16032019,12:12:15 PM,374.4
16032019,12:12:25 PM,52.2
16032019,12:12:35 PM,53.1
16032019,12:12:45 PM,53.6
16032019,12:12:55 PM,54.2
16032019,12:13:05 PM,52.6
16032019,12:13:15 PM,376.1
16032019,12:13:25 PM,375.2
16032019,12:13:35 PM,49.9
16032019,12:13:45 PM,191.4
16032019,12:13:55 PM,375.6
16032019,12:14:05 PM,377
16032019,12:14:15 PM,376.1
16032019,12:14:25 PM,241.1
16032019,12:14:35 PM,117.3
16032019,12:14:45 PM,376
16032019,12:14:55 PM,376.5
16032019,12:15:05 PM,375.5
16032019,12:15:15 PM,186.6
16032019,12:15:25 PM,377
16032019,12:15:35 PM,375.2
16032019,12:15:45 PM,377.3
16032019,12:15:55 PM,191.2
16032019,12:16:05 PM,190.7
16032019,12:16:15 PM,192.6
16032019,12:16:25 PM,376.1
16032019,12:16:35 PM,376.1
16032019,12:16:45 PM,155.1
16032019,12:16:55 PM,71.3
16032019,12:17:05 PM,375.7
16032019,12:17:15 PM,376.1
16032019,12:17:25 PM,169.6
16032019,12:17:35 PM,49
16032019,12:17:45 PM,49.2
16032019,12:17:55 PM,49.4
16032019,12:18:05 PM,201.4
16032019,12:18:15 PM,54.2
16032019,12:18:25 PM,377.4
16032019,12:18:35 PM,375.7
16032019,12:18:45 PM,190.9
16032019,12:18:55 PM,376.1
16032019,12:19:05 PM,377.8
16032019,12:19:15 PM,376
16032019,12:19:25 PM,179.2
16032019,12:19:35 PM,377.3
16032019,12:19:45 PM,374.8
16032019,12:19:55 PM,376.5
16032019,12:20:05 PM,375.3
16032019,12:20:15 PM,375.3
16032019,12:20:25 PM,32
16032019,12:20:35 PM,31.6
16032019,12:20:45 PM,375.2
16032019,12:20:55 PM,374.8
16032019,12:21:05 PM,195.2
16032019,12:21:15 PM,46.4
16032019,12:21:25 PM,47.4
16032019,12:21:35 PM,49.3
16032019,12:21:45 PM,378.7
16032019,12:21:55 PM,377.4
16032019,12:22:05 PM,144.6
16032019,12:22:15 PM,54.2
16032019,12:22:25 PM,375.3
16032019,12:22:35 PM,376.6
16032019,12:22:45 PM,375.8
16032019,12:22:55 PM,377.8
16032019,12:23:05 PM,185.6
16032019,12:23:15 PM,63.5
16032019,12:23:25 PM,375.2
16032019,12:23:35 PM,375.3
16032019,12:23:45 PM,376.9
16032019,12:23:55 PM,376.6
16032019,12:24:05 PM,377.8
16032019,12:24:15 PM,14.4
16032019,12:24:25 PM,918.2
16032019,12:24:35 PM,-3.8
16032019,12:24:45 PM,147.5
16032019,12:24:55 PM,68.2
16032019,12:25:05 PM,54.2
16032019,12:25:15 PM,163.5
16032019,12:25:25 PM,131.4
16032019,12:25:35 PM,67.9
16032019,12:25:45 PM,363.4
16032019,12:25:55 PM,362.9
16032019,12:26:05 PM,363
16032019,12:26:15 PM,159.1
16032019,12:26:25 PM,17.4
16032019,12:26:35 PM,19.6
16032019,12:26:45 PM,172.3
16032019,12:26:55 PM,18.2
16032019,12:27:05 PM,20.7
16032019,12:27:15 PM,153
16032019,12:27:25 PM,-7.9
16032019,12:27:35 PM,-9.2
16032019,12:27:45 PM,-9.2
16032019,12:27:55 PM,-9.2
16032019,12:28:05 PM,-9.3
16032019,12:28:15 PM,-8.6
16032019,12:28:25 PM,-9.3
16032019,12:28:35 PM,159.4
16032019,12:28:45 PM,15.9
16032019,12:28:55 PM,33.5
16032019,12:29:05 PM,29.4
16032019,12:29:15 PM,59.3
16032019,12:29:25 PM,58.9
16032019,12:29:35 PM,121.2
16032019,12:29:45 PM,39.5
16032019,12:29:55 PM,130.5
16032019,12:30:05 PM,230.7
16032019,12:30:15 PM,229.8
16032019,12:30:25 PM,232
16032019,12:30:35 PM,230.8
16032019,12:30:45 PM,230.7
16032019,12:30:55 PM,231.1
16032019,12:31:05 PM,231.1
16032019,12:31:15 PM,232.4
16032019,12:31:25 PM,230.7
16032019,12:31:35 PM,230.7
16032019,12:31:45 PM,73.6
16032019,12:31:55 PM,145.3
16032019,12:32:05 PM,58.3
16032019,12:32:15 PM,36.2
16032019,12:32:25 PM,42.8
16032019,12:32:35 PM,64.5
16032019,12:32:45 PM,169.5
16032019,12:32:55 PM,35.8
16032019,12:33:05 PM,38.6
16032019,12:33:15 PM,156
16032019,12:33:25 PM,37.6
16032019,12:33:35 PM,52.8
16032019,12:33:45 PM,363.7
16032019,12:33:55 PM,158.1
16032019,12:34:05 PM,112.6
16032019,12:34:15 PM,142.1
16032019,12:34:25 PM,40.1
16032019,12:34:35 PM,156.4
16032019,12:34:45 PM,41.3
16032019,12:34:55 PM,166.7
16032019,12:35:05 PM,165.3
16032019,12:35:15 PM,154
16032019,12:35:25 PM,41
16032019,12:35:35 PM,156.6
16032019,12:35:45 PM,133.3
16032019,12:35:55 PM,172.5
16032019,12:36:05 PM,150.2
16032019,12:36:15 PM,44.2
16032019,12:36:25 PM,150.1
16032019,12:36:35 PM,145.8
16032019,12:36:45 PM,44.6
16032019,12:36:55 PM,43.7
16032019,12:37:05 PM,162.2
16032019,12:37:15 PM,43.4
16032019,12:37:25 PM,46.1
16032019,12:37:35 PM,51
16032019,12:37:45 PM,153.4
16032019,12:37:55 PM,33
16032019,12:38:05 PM,144.4
16032019,12:38:15 PM,46.4
16032019,12:38:25 PM,142.3
16032019,12:38:35 PM,44.3
16032019,12:38:45 PM,164.7
16032019,12:38:55 PM,125.4
16032019,12:39:05 PM,45.9
16032019,12:39:15 PM,49.6
16032019,12:39:25 PM,48.4
16032019,12:39:35 PM,216.3
16032019,12:39:45 PM,171.2
16032019,12:39:55 PM,150.8
16032019,12:40:05 PM,134.2
16032019,12:40:15 PM,45.8
16032019,12:40:25 PM,147
16032019,12:40:35 PM,45.5
16032019,12:40:45 PM,45.4
16032019,12:40:55 PM,46.7
16032019,12:41:05 PM,46.3
16032019,12:41:15 PM,46.6
16032019,12:41:25 PM,45.9
16032019,12:41:35 PM,136.6
16032019,12:41:45 PM,43
16032019,12:41:55 PM,151.1
16032019,12:42:05 PM,45.7
16032019,12:42:15 PM,173.3
16032019,12:42:25 PM,145.8
16032019,12:42:35 PM,47.5
16032019,12:42:45 PM,141.4
16032019,12:42:55 PM,141.5
16032019,12:43:05 PM,172.1
16032019,12:43:15 PM,45.4
16032019,12:43:25 PM,155.8
16032019,12:43:35 PM,115.5
16032019,12:43:45 PM,191.9
16032019,12:43:55 PM,44.5
16032019,12:44:05 PM,30.4
16032019,12:44:15 PM,43.4
16032019,12:44:25 PM,153.3
16032019,12:44:35 PM,30.5
16032019,12:44:45 PM,138.4
16032019,12:44:55 PM,42.6
16032019,12:45:05 PM,103.5
16032019,12:45:15 PM,171.3
16032019,12:45:25 PM,41.9
16032019,12:45:35 PM,44.5
16032019,12:45:45 PM,45
16032019,12:45:55 PM,45.4
16032019,12:46:05 PM,45.1
16032019,12:46:15 PM,154.1
16032019,12:46:25 PM,42
16032019,12:46:35 PM,100.9
16032019,12:46:45 PM,153.5
16032019,12:46:55 PM,41.4
16032019,12:47:05 PM,45.4
16032019,12:47:15 PM,45.8
16032019,12:47:25 PM,46.6
16032019,12:47:35 PM,183.8
16032019,12:47:45 PM,43.1
16032019,12:47:55 PM,45.8
16032019,12:48:05 PM,144.3
16032019,12:48:15 PM,43.4
16032019,12:48:25 PM,48.5
16032019,12:48:35 PM,125.9
16032019,12:48:45 PM,42.3
16032019,12:48:55 PM,44.6
16032019,12:49:05 PM,45.4
16032019,12:49:15 PM,133.2
16032019,12:49:25 PM,42.8
16032019,12:49:35 PM,45.4
16032019,12:49:45 PM,46.3
16032019,12:49:55 PM,154
16032019,12:50:05 PM,42.8
16032019,12:50:15 PM,45
16032019,12:50:25 PM,44.5
16032019,12:50:35 PM,43.5
16032019,12:50:45 PM,124.7
16032019,12:50:55 PM,49.2
16032019,12:51:05 PM,43.4
16032019,12:51:15 PM,148.4
16032019,12:51:25 PM,43
16032019,12:51:35 PM,144.8
16032019,12:51:45 PM,42.2
16032019,12:51:55 PM,102
16032019,12:52:05 PM,43.5
16032019,12:52:15 PM,139.2
16032019,12:52:25 PM,42.7
16032019,12:52:35 PM,181.1
16032019,12:52:45 PM,46.6
16032019,12:52:55 PM,137.8
16032019,12:53:05 PM,43.2
16032019,12:53:15 PM,149.9
16032019,12:53:25 PM,43.3
16032019,12:53:35 PM,39.2
16032019,12:53:45 PM,38
16032019,12:53:55 PM,38.5
16032019,12:54:05 PM,99.8
16032019,12:54:15 PM,30.6
16032019,12:54:25 PM,22.6
16032019,12:54:35 PM,30.4
16032019,12:54:45 PM,28.5
16032019,12:54:55 PM,113.4
16032019,12:55:05 PM,135.9
16032019,12:55:15 PM,136.6
16032019,12:55:25 PM,23.4
16032019,12:55:35 PM,162.9
16032019,12:55:45 PM,36.3
16032019,12:55:55 PM,34.6
16032019,12:56:05 PM,37.1
16032019,12:56:15 PM,26.5
16032019,12:56:25 PM,174.2
16032019,12:56:35 PM,45.1
16032019,12:56:45 PM,138.3
16032019,12:56:55 PM,161.2
16032019,12:57:05 PM,45.1
16032019,12:57:15 PM,147.6
16032019,12:57:25 PM,153.3
16032019,12:57:35 PM,46.6
16032019,12:57:45 PM,365.1
16032019,12:57:55 PM,164.3
16032019,12:58:05 PM,50.5
16032019,12:58:15 PM,363.8
16032019,12:58:25 PM,184.1
16032019,12:58:35 PM,66.2
16032019,12:58:45 PM,126.4
16032019,12:58:55 PM,48.5
16032019,12:59:05 PM,185
16032019,12:59:15 PM,172.1
16032019,12:59:25 PM,42.4
16032019,12:59:35 PM,44.6
16032019,12:59:45 PM,44.2
16032019,12:59:55 PM,44.7
16032019,1:00:05 PM,43.8
16032019,1:00:15 PM,43.7
16032019,1:00:25 PM,43.7
16032019,1:00:35 PM,43.8
16032019,1:00:45 PM,43.8
16032019,1:00:55 PM,44.6
16032019,1:01:05 PM,44.2
16032019,1:01:15 PM,43.8
16032019,1:01:25 PM,44.4
16032019,1:01:35 PM,44.7
16032019,1:01:45 PM,44.3
16032019,1:01:55 PM,43.9
16032019,1:02:05 PM,43.9
16032019,1:02:15 PM,43.8
16032019,1:02:25 PM,44.3
16032019,1:02:35 PM,44.8
16032019,1:02:45 PM,44.2
16032019,1:02:55 PM,44.3
16032019,1:03:05 PM,122.5
16032019,1:03:15 PM,131
16032019,1:03:25 PM,146.1
16032019,1:03:35 PM,175.6
16032019,1:03:45 PM,153.7
16032019,1:03:55 PM,45
16032019,1:04:05 PM,46.1
16032019,1:04:15 PM,45.5
16032019,1:04:25 PM,131.5
16032019,1:04:35 PM,112.9
16032019,1:04:45 PM,44.3
16032019,1:04:55 PM,123.9
16032019,1:05:05 PM,118.7
16032019,1:05:15 PM,45.2
16032019,1:05:25 PM,106.4
16032019,1:05:35 PM,45.6
16032019,1:05:45 PM,134.3
16032019,1:05:55 PM,46.1
16032019,1:06:05 PM,137.9
16032019,1:06:15 PM,153.4
16032019,1:06:25 PM,135.8
16032019,1:06:35 PM,173.7
16032019,1:06:45 PM,155.4
16032019,1:06:55 PM,133
16032019,1:07:05 PM,45.7
16032019,1:07:15 PM,150.6
16032019,1:07:25 PM,130.1
16032019,1:07:35 PM,45.2
16032019,1:07:45 PM,133.8
16032019,1:07:55 PM,46
16032019,1:08:05 PM,147.9
16032019,1:08:15 PM,157.6
16032019,1:08:25 PM,44.3
16032019,1:08:35 PM,107.6
16032019,1:08:45 PM,44.8
16032019,1:08:55 PM,144.5
16032019,1:09:05 PM,168.2
16032019,1:09:15 PM,144.5
16032019,1:09:25 PM,198.7
16032019,1:09:35 PM,44.7
16032019,1:09:45 PM,155.4
16032019,1:09:55 PM,120.3
16032019,1:10:05 PM,45.6
16032019,1:10:15 PM,188.2
16032019,1:10:25 PM,198.8
16032019,1:10:35 PM,185.8
16032019,1:10:45 PM,150.1
16032019,1:10:55 PM,147.9
16032019,1:11:05 PM,45.7
16032019,1:11:15 PM,119.1
16032019,1:11:25 PM,150.7
16032019,1:11:35 PM,124
16032019,1:11:45 PM,45.7
16032019,1:11:55 PM,150.3
16032019,1:12:05 PM,128.4
16032019,1:12:15 PM,48.1
16032019,1:12:25 PM,21.3
16032019,1:12:35 PM,23.1
16032019,1:12:45 PM,22.2
16032019,1:12:55 PM,20.7
16032019,1:13:05 PM,21.2
16032019,1:13:15 PM,23
16032019,1:13:25 PM,156.7
16032019,1:13:35 PM,44.9
16032019,1:13:45 PM,192.6
16032019,1:13:55 PM,192.4
16032019,1:14:05 PM,25.8
16032019,1:14:15 PM,25.9
16032019,1:14:25 PM,25.8
16032019,1:14:35 PM,25.9
16032019,1:14:45 PM,25.8
16032019,1:14:55 PM,154.5
16032019,1:15:05 PM,170.4
16032019,1:15:15 PM,46.5
16032019,1:15:25 PM,36.1
16032019,1:15:35 PM,35.3
16032019,1:15:45 PM,36.2
16032019,1:15:55 PM,35.3
16032019,1:16:05 PM,354.7
16032019,1:16:15 PM,151.1
16032019,1:16:25 PM,46.4
16032019,1:16:35 PM,150.8
16032019,1:16:45 PM,34
16032019,1:16:55 PM,32.9
16032019,1:17:05 PM,33.9
16032019,1:17:15 PM,33.6
16032019,1:17:25 PM,158.2
16032019,1:17:35 PM,31.6
16032019,1:17:45 PM,35.7
16032019,1:17:55 PM,38.8
16032019,1:18:05 PM,162.6
16032019,1:18:15 PM,42.2
16032019,1:18:25 PM,46.8
16032019,1:18:35 PM,169.8
16032019,1:18:45 PM,40.2
16032019,1:18:55 PM,43.6
16032019,1:19:05 PM,43.3
16032019,1:19:15 PM,47.4
16032019,1:19:25 PM,42.5
16032019,1:19:35 PM,147.1
16032019,1:19:45 PM,32.7
16032019,1:19:55 PM,161.5
16032019,1:20:05 PM,41
16032019,1:20:15 PM,165.2
16032019,1:20:25 PM,40.6
16032019,1:20:35 PM,123.5
16032019,1:20:45 PM,42.2
16032019,1:20:55 PM,151.3
16032019,1:21:05 PM,42.2
16032019,1:21:15 PM,92
16032019,1:21:25 PM,287.5
16032019,1:21:35 PM,287.6
16032019,1:21:45 PM,289.4
16032019,1:21:55 PM,288.4
16032019,1:22:05 PM,287.6
16032019,1:22:15 PM,289.3
16032019,1:22:25 PM,287.6
16032019,1:22:35 PM,288.4
16032019,1:22:45 PM,287.1
16032019,1:22:55 PM,288
16032019,1:23:05 PM,288.4
16032019,1:23:15 PM,287.1
16032019,1:23:25 PM,287.6
16032019,1:23:35 PM,288
16032019,1:23:45 PM,288
16032019,1:23:55 PM,287.5
16032019,1:24:05 PM,288
